"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50168787","ROMAINE EMPIRE INC FARMER'S FRIDGE","Queens","7","JFK INTL AIRPORT BLVD","11430","3122290099",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.648312826068","-73.788281497594","483","28","071600","4542156","4142600001","QN98","POINT (-73.788281497594 40.648312826068)"
"50176023","AL KHAIR BAKERY & RESTAURANT INC","Brooklyn","7905","5 AVENUE","11209","8625713138",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.626372039775","-74.023895151165","310","47","013600","3150946","3059810010","BK31","POINT (-74.023895151165 40.626372039775)"
"50180365","STRAND BOOK STORE, INC.","Manhattan","828","BROADWAY","10003","2126606649",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.733395702946","-73.991058698408","102","02","006100","1009208","1005640034","MN23","POINT (-73.991058698408 40.733395702946)"
"50130904","C. BURGER","Brooklyn","4917","8 AVENUE","11220","6465158201","Asian/Asian Fusion","2025-09-05T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0","C","2025-09-05T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Reopening Inspection","40.641514706333","-74.00327178347","312","38","010800","3137522","3056370001","BK34","POINT (-74.00327178347 40.641514706333)"
"50183742","GOLDEN CREPERIE LLC","Staten Island","1686","FOREST AVENUE","10302","24048478874",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.624945803003","-74.145179897737","501","50","025100","5029201","5014760051","SI28","POINT (-74.145179897737 40.624945803003)"
"50163576","GLOBAL PROMINENT TRADING CORPORATION","Queens","40-05","SKILLMAN AVENUE","11104","7189131888",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.747195864681","-73.923416505935","402","26","017100","4002375","4001830292","QN31","POINT (-73.923416505935 40.747195864681)"
"50182135","SOSAS SANDWICH SHOP","Queens","24-26","47 STREET","11103","3473934582",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.766568442385","-73.905123532108","401","22","014100","4013583","4007320045","QN70","POINT (-73.905123532108 40.766568442385)"
"50179455","JUS BY JULIE","Brooklyn","891","BEDFORD AVENUE","11205","9173270006",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.6934758899","-73.95591176174","303","33","024100","3048548","3017500006","BK75","POINT (-73.95591176174 40.6934758899)"
"50180700","SAKURA JAPAN INCORPORATED","Brooklyn","587","WILSON AVENUE","11207","3473228640",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.690711032273","-73.90814910702","304","37","043700","3079110","3034180062","BK77","POINT (-73.90814910702 40.690711032273)"
"50179490","BAE Ventures LLC","Brooklyn","963","MANHATTAN AVENUE","11222","7187900760",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.732072316974","-73.954579957469","301","33","056500","3064435","3025400040","BK76","POINT (-73.954579957469 40.732072316974)"
"50045961","TAI LAI RESTAURANT","Brooklyn","990","T S BOYLAND ST",,"7184987787","Chinese","2026-04-08T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","9","A","2026-04-08T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","0","0",,,,,"3",,
"50179764","EL QUETZALITO 13 CORP.,","Queens","40-17","JUNCTION BOULEVARD","11368","5164067550",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.748606940914","-73.869076221101","404","21","037500","4040220","4016050064","QN26","POINT (-73.869076221101 40.748606940914)"
"50172030","LO-HI","Brooklyn","314","SCHOLES STREET","11206","3475663662",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.709493123217","-73.935813881645","301","34","048500","3325804","3030470015","BK78","POINT (-73.935813881645 40.709493123217)"
"50181416","L&E PROVISIONS LLC","Brooklyn","37","CRANBERRY STREET","11201","9176830289",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.699890501608","-73.993865423383","302","33","000100","3250374","3002157501","BK09","POINT (-73.993865423383 40.699890501608)"
"41506131","IL PUNTO RISTORANTE","Manhattan","507509","9 AVENUE",,"2122440088","Italian","2024-10-02T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","12","A","2024-10-02T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50177902","ARTHOUSE","Brooklyn","2717","AVENUE U","11229","9173302724",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.600140146742","-73.944500701719","315","46","057400","3198780","3073320048","BK44","POINT (-73.944500701719 40.600140146742)"
"50139943","CAFE POBEDA","Brooklyn","5610","NEW UTRECHT AVENUE","11219","7185766633","Eastern European","2026-01-30T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0","Z","2026-01-30T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Reopening Inspection","40.630612398506","-73.995734409292","312","44","024000","3140096","3056910014","BK88","POINT (-73.995734409292 40.630612398506)"
"50132356","ELECTRIC ROOM","Manhattan","355","WEST   16 STREET","10011","9175395220",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.741726367976","-74.003081852298","104","03","008300","1088885","1007407502","MN13","POINT (-74.003081852298 40.741726367976)"
"50105933","DUNKIN'","Bronx","4399A","WHITE PLAINS RD",,"9292074427","Donuts","2025-10-09T00:00:00.000","Violations were cited in the following area(s).","04K","Evidence of rats or live rats in establishment's food or non-food areas.","Critical","9","A","2025-10-09T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Re-inspection","0","0",,,,,"2",,
"50173947","AYAT BUSHWICK","Brooklyn","242","KNICKERBOCKER AVENUE","11237","7188912708",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.702734606761","-73.925281903525","304","34","042900","3072736","3031970028","BK77","POINT (-73.925281903525 40.702734606761)"
"50179630","LAZYDOG","Manhattan","W","59TH ST COLUMBUS CIRCLE","10023","6466372137",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,,,,,,,,,
"50179226","THISBOWL","Manhattan","640","5 AVENUE","10019","9178481799",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.759425090887","-73.977121791261","105","04","010400","1034516","1012670034","MN17","POINT (-73.977121791261 40.759425090887)"
"50002431","DUE AMICI","Queens",,"JFK INTERNATIONAL AIRPORT","11430","6464835087","Italian","2017-11-01T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","6","A","2017-11-01T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection",,,,,,,,,
"50101878","DIM SUM PALACE","Manhattan","28","WEST   56 STREET","10019","9176913882","Chinese","2025-05-08T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2026-04-10T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.7627376917","-73.975557575612","105","04","010400","1084506","1012710154","MN17","POINT (-73.975557575612 40.7627376917)"
"50078845","TACOMBI","Brooklyn","25","LAFAYETTE AVENUE","11217","3472940647","Mexican","2025-01-09T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","19","B","2025-01-09T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Re-inspection","40.686845392213","-73.977990533712","302","35","003300","3059181","3021080021","BK68","POINT (-73.977990533712 40.686845392213)"
"40876618","BIJAN'S","Brooklyn","7981","HOYT STREET",,"7188555574","American","2024-05-23T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","20",,,"2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","0","0",,,,,"3",,
"50174791","STUFFED NYC PIZZA","Bronx","3073","BAILEY AVENUE","10463","3478637385",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.877544714923","-73.902823815109","208","14","027700","2016135","2032660124","BX28","POINT (-73.902823815109 40.877544714923)"
"50178894","SAMMY'S BAKERY COMPANY LLC","Manhattan","1802","65 ST TRANSVERSE",,"5166686882",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"0","0",,,,,"1",,
"50168872","FLUSHING HOUSE","Queens","38-20","BOWNE STREET","11354","7184400027",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.761936935721","-73.824861974208","407","20","086500","4113595","4050200023","QN22","POINT (-73.824861974208 40.761936935721)"
"50179504","TACO CARMINE LLC","Brooklyn","311","6 AVENUE","11215","9143597065",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.672059751755","-73.980562150767","306","39","015500","3020986","3009760006","BK37","POINT (-73.980562150767 40.672059751755)"
"50181762","VERA'S","Brooklyn","529","STANLEY AVENUE","11207","9176235206",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.6572460267","-73.888801477391","305","42","110400","3097671","3043470030","BK82","POINT (-73.888801477391 40.6572460267)"
"50183370","NO. 1 CHINESE RESTAURANT 6308 INC","Queens","63-08","BROADWAY","11377","7185075023",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.749930053321","-73.899098343071","402","26","026100","4027522","4012030056","QN63","POINT (-73.899098343071 40.749930053321)"
"50044626","CASA NONNA PIZZA CONCESSION","Manhattan","4","PENN PLAZA","10121","2124656302","American","2025-02-01T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","2025-02-01T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","40.750654836632","-73.991944239076","105","03","010100","1082908","1007810001","MN17","POINT (-73.991944239076 40.750654836632)"
"50180908","NUEVO DON FRANCISCO RESTAURANT CORP","Queens","40-56","JUNCTION BOULEVARD","11368","3477892775",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.748043910906","-73.868766951506","404","21","046500","4039847","4015960035","QN29","POINT (-73.868766951506 40.748043910906)"
"50181025","PIZZA POINT 1 INC.","Manhattan","123","NAGLE AVENUE","10040","9292789945",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.860767596193","-73.926965505862","112","10","028300","1064150","1021730015","MN35","POINT (-73.926965505862 40.860767596193)"
"50162387","JACQUES TORRES MANUFACTURING LLC","Manhattan","1","HERALD SQUARE","10001","3479160542",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.750541907818","-73.987541021756","105","04","010900","1089436","1008100045","MN17","POINT (-73.987541021756 40.750541907818)"
"50095254","THE BEST SICHUAN","Manhattan","47","WEST   39 STREET","10018","7188780835","Chinese","2025-11-10T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2026-04-10T06:00:13.000","Administrative Miscellaneous / Initial Inspection","40.752229469627","-73.983808691228","105","04","008400","1016037","1008410013","MN17","POINT (-73.983808691228 40.752229469627)"
"50160187","THE BOIIS CO LLC","Manhattan","42","WEST   42 STREET","10036","9293525658",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.754068239421","-73.982321170752","105","04","008400","1085593","1012570002","MN17","POINT (-73.982321170752 40.754068239421)"
"50183844","SG SOUTHERN RESTAURANT INC","Queens","223-02","MERRICK BOULEVARD","11413","3475933211",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.678035578406","-73.746123977965","413","31","035800","4281413","4131030018","QN66","POINT (-73.746123977965 40.678035578406)"
"50064645","GYU KAKU","Queens","40-52","MAIN STREET","11354","3475423653","Japanese","2024-09-12T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","22",,,"2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","40.758441749858","-73.82959983144","407","20","087100","4114147","4050370063","QN22","POINT (-73.82959983144 40.758441749858)"
"50165977","ONE AND ONE","Manhattan","12","1 AVENUE","10009","6466577217",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.723357851029","-73.988347038953","103","02","003002","1083474","1004290001","MN22","POINT (-73.988347038953 40.723357851029)"
"50151904","PICA POLLO 809 EL ORIGINAL","Bronx","288","EAST BURNSIDE AVENUE","10457","9089440006",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.851098414705","-73.901854104064","205","15","038100","2007782","2028140076","BX41","POINT (-73.901854104064 40.851098414705)"
"50149510","DBA PARADISE SPORTS BAR","Queens","97-15","37 AVENUE","11368","9293286050",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.751852000424","-73.869733926477","403","21","040900","4435630","4017380029","QN26","POINT (-73.869733926477 40.751852000424)"
"50181140","JAVA FIX","Brooklyn","175","RICHARDSON STREET","11222","9292891761",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.71887358612","-73.944083991135","301","34","047700","3067943","3027250026","BK90","POINT (-73.944083991135 40.71887358612)"
"50112427","HAPPY CANTEEN","Brooklyn","1801C","AVENUE U",,"6462678950","Japanese","2023-09-26T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","12","A","2023-09-26T00:00:00.000","2026-04-10T06:00:13.000","Pre-permit (Operational) / Re-inspection","0","0",,,,,"3",,
"50174993","TIME OUT MARKET (MANHATTAN) LLC","Manhattan","124","EAST   14 STREET","10003","9179742012",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.733785220688","-73.988392116202","103","02","004200","1084306","1005590016","MN22","POINT (-73.988392116202 40.733785220688)"
"50002529","LE GRAND COMPTOIR","Queens",,"JFK INTERNATIONAL AIRPORT","11430","5163988524","Salads","2024-02-07T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","9","A","2024-02-07T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection",,,,,,,,,
"50172129","CREPES LE BON","Manhattan","221","AVENUE A","10009","6463990645",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.730081480586","-73.980606498425","103","02","003400","1006020","1004410031","MN22","POINT (-73.980606498425 40.730081480586)"
"50119389","TERIYAKI ONE","0","2510","HYLAN BLVD","10306","9176883039","Japanese","2025-11-18T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","12","A","2025-11-18T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection",,,,,,,,,
"50163311","COPAS LOUNGE","Bronx","894","EAST TREMONT AVENUE","10460","6465334509",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.84216471092","-73.884577009534","206","15","035900","2010623","2029850045","BX17","POINT (-73.884577009534 40.84216471092)"
"50182945","CORNBREAD AND CAVIAR RESTAURANT AND CATERING LLC","Queens","169-75","137 AVENUE","11434","6463427824",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.672625007273","-73.770575648619","412","28","033402","4436349","4124950002","QN02","POINT (-73.770575648619 40.672625007273)"
"50166635","PRAGA VIP LOUNGE CORP.","Bronx","445","EAST TREMONT AVENUE","10457","9179327043",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.847220372944","-73.898997184687","206","15","039500","2011252","2030340056","BX01","POINT (-73.898997184687 40.847220372944)"
"50107047","KING BARKA","Manhattan","2733","FREDERICK DOUGLASS BOULEVARD",,"3476418572","Caribbean","2024-07-02T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","50",,,"2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50180412","GRIZZLY COFFEE AND TEA HOUSE 992 LLC","Brooklyn","992","CONEY ISLAND AVENUE","11230","9294358728",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.633379985281","-73.967106025845","314","45","048200","3128002","3054250082","BK42","POINT (-73.967106025845 40.633379985281)"
"41612260","TROPICAL RESTAURANT/GO NATURAL","Queens","88-18/20","JAMAICA AVENUE","11421","7188468816","Latin American","2026-03-09T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","43",,,"2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection",,,,,,,,,
"50053023","LA DULCE II BAKERY","Queens","8710A","LEFFERTS BOULEVARD",,"7188802441","Bakery Products/Desserts","2023-10-04T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","35",,,"2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","0","0",,"29","012200",,"4",,
"50174770","LEON'S BAGELS JOHN LLC","Manhattan","12","JOHN STREET","10038","9179290448",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.709996550054","-74.009100465865","101","01","001502","1001103","1000650020","MN25","POINT (-74.009100465865 40.709996550054)"
"50179532","BOIL & BITE","Brooklyn","148","NORTH    7 STREET","11249","7186873687",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.718190707666","-73.958323162164","301","34","055300","3335691","3023270016","BK73","POINT (-73.958323162164 40.718190707666)"
"50170224","BSD CATERING LLC","Brooklyn","5602","11 AVENUE","11219","3475587011",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.633672908608","-74.000702557839","312","44","021600","3139989","3056880036","BK88","POINT (-74.000702557839 40.633672908608)"
"50182985","CAFE BUUNNI GWB INC","Manhattan","650","WEST  168 STREET","10032","7137258150",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.841628442486","-73.941089080846","112","10","025100","1084389","1021380040","MN36","POINT (-73.941089080846 40.841628442486)"
"50182750","NY CREPERIE T8","Queens","144-38","87 AVENUE","11435","9176840703",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.706792896269","-73.811719830472","408","24","023200","4207368","4097030025","QN35","POINT (-73.811719830472 40.706792896269)"
"50177229","7TH STREET BURGER","Brooklyn","1409","KINGS HIGHWAY","11229","6462246919",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.608460209961","-73.958982574184","315","48","055400","3182418","3067770036","BK25","POINT (-73.958982574184 40.608460209961)"
"50184362","POWERHOUSE ARTS INC","Brooklyn","322","3 AVENUE","11215","9292178365",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.676197049727","-73.987079082018","306","39","011900","3020760","3009677501","BK37","POINT (-73.987079082018 40.676197049727)"
"50178785","ESMERALDA & CRISTAL RESTAURANT & LOUNGE CORP.","Bronx","182","WEST BURNSIDE AVENUE","10453","9177949179",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.854383985199","-73.915853221473","205","14","024501","2009112","2028790184","BX36","POINT (-73.915853221473 40.854383985199)"
"50162307","OSTERIA REGINA","Brooklyn","241","SMITH STREET","11231","9176077627",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.683630387301","-73.992547286275","306","39","006900","3006540","3004090001","BK38","POINT (-73.992547286275 40.683630387301)"
"50175364","THE BLINDED TIGER","Queens",,"JFK INTERNATIONAL AIRPORT","11430","2015282436",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,,,,,,,,,
"50180120","900 8TH DELI CORP.","Manhattan","900","8 AVENUE","10019","9176426276",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.764495890156","-73.984480761157","105","03","013100","1024832","1010257502","MN17","POINT (-73.984480761157 40.764495890156)"
"41403890","TOWERS CAFE","Brooklyn","760","BROADWAY","11206","7186303042","American","2025-09-10T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","12","A","2025-09-10T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Initial Inspection","40.700520815949","-73.941603753866","303","36","028501","3048341","3017230001","BK78","POINT (-73.941603753866 40.700520815949)"
"50176355","THE GEM SALOON","Manhattan","375","3 AVENUE","10016","6466127757",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.741431185077","-73.981234706326","106","02","006600","1019868","1009080001","MN20","POINT (-73.981234706326 40.741431185077)"
"50159569","Relish Catereers LTD","Bronx","2501","3 AVENUE","10451","2125551212",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.810202180315","-73.928401164709","201","08","005100","2000795","2023200047","BX39","POINT (-73.928401164709 40.810202180315)"
"50184188","LUKAS GEORGIADIS","Brooklyn","5922","AVENUE N","11234","7182092246",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.619480522259","-73.918074014201","318","46","068800","3221457","3079040047","BK58","POINT (-73.918074014201 40.619480522259)"
"50169033","EGGSTRAVAGANZA","Queens","41-20","39 STREET","11104","9296881513",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.747156085403","-73.925531439289","402","26","017900","4535364","4002150016","QN31","POINT (-73.925531439289 40.747156085403)"
"50184280","BK PIZZA 1 INC","Brooklyn","1491","BROADWAY","11221","6466427988",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.687301394408","-73.91819228915","304","37","039700","3394519","3033800005","BK78","POINT (-73.91819228915 40.687301394408)"
"50136259","JI YOU BRAISED FOOD","Queens","41-18","MAIN STREET","11355","6463396905","Chinese","2023-09-13T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0","P","2023-09-13T00:00:00.000","2026-04-10T06:00:13.000","Pre-permit (Operational) / Reopening Inspection","40.757730338206","-73.82925152684","407","20","084900","4114237","4050410037","QN22","POINT (-73.82925152684 40.757730338206)"
"41542801","SPICE","Manhattan","1479","1 AVENUE","10075","2127446374","Thai","2026-03-26T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","7","A","2026-03-26T00:00:00.000","2026-04-10T06:00:13.000","Cycle Inspection / Re-inspection","40.771116143476","-73.953589269069","108","05","013400","1045209","1014520023","MN31","POINT (-73.953589269069 40.771116143476)"
"50165386","CIRCLE","Manhattan","1","WORLD TRADE CENTER","10007","781065842",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.713273449121","-74.012819917535","101","01","001300","1088469","1000580001","MN25","POINT (-74.012819917535 40.713273449121)"
"50177128","TAQUERIA LA SUEGRA DE DYCKMAN","Manhattan","111","DYCKMAN STREET","10040","3476348754",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.862026167137","-73.92500825155","112","10","029100","1085389","1022170051","MN01","POINT (-73.92500825155 40.862026167137)"
"50182885","BAOXIAOBAI BUNS","Queens","42-18","BOWNE STREET","11355","9299905961",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-04-10T06:00:17.000",,"40.756785682665","-73.821731650143","407","20","085700","4539326","4051827501","QN22","POINT (-73.821731650143 40.756785682665)"
